id,name,latitude,longitude,population
609987,HENDRICKS,41.815788,-87.633664,181
610300,WESTCOTT,41.748868,-87.634751,395
610290,MAYS,41.772727,-87.637277,239
609986,HENDERSON,41.790591,-87.671887,231
610571,OMBUDSMAN - WEST HS,41.874673,-87.687842,139
610269,MCCUTCHEON,41.970949,-87.654758,344
610032,GREEN,41.719292,-87.6525,302
609759,CLEMENTE HS,41.902626,-87.686906,744
609832,BYRNE,41.795031,-87.791544,580
609945,GOUDY,41.975817,-87.657912,512
610051,NORTHWEST,41.920555,-87.757854,506
610208,LAVIZZO,41.696262,-87.627148,329
400151,LEARN - 7,41.88741,-87.701397,151
400060,AHS - PASSAGES,41.983371,-87.67116,355
609734,TAFT HS,41.982961,-87.791547,4218
610183,SPENCER,41.884876,-87.750445,388
610000,HOWE,41.893612,-87.759398,354
610130,PIRIE,41.74034,-87.607891,182
609971,HARVARD,41.757341,-87.632737,357
609764,JUAREZ HS,41.852667,-87.663732,1531
610541,LORCA,41.940026,-87.724783,611
610171,MIRELES,41.731717,-87.552788,451
400128,YCCS - CCA ACADEMY,41.864943,-87.723662,65
610347,CLAREMONT,41.777511,-87.681061,330
609899,EBINGER,42.004408,-87.81117,695
610138,PULASKI,41.918486,-87.683801,840
609872,PEREZ,41.856029,-87.65798,301
610235,YOUNG ES,41.906791,-87.767143,395
609857,CLEVELAND,41.952042,-87.706443,463
400086,URBAN PREP - ENGLEWOOD HS,41.781498,-87.634357,97
610199,COLEMON,41.677505,-87.658111,178
610142,RAY,41.792348,-87.594752,588
609956,GRIMES,41.775464,-87.758803,368
610033,LASALLE,41.9139,-87.637565,491
610106,PICCOLO,41.90014,-87.731261,642
609894,DRAKE,41.844043,-87.628553,300
609795,CLARK ES,41.867813,-87.770418,139
609786,AVALON PARK,41.748247,-87.591654,189
610315,WHITE,41.672309,-87.650539,126
400111,LEARN - PERKINS,41.743122,-87.665721,479
610592,ENGLEWOOD STEM HS,41.770251,-87.639061,602
610148,CHAVEZ,41.807143,-87.666037,783
609836,CANTY,41.948007,-87.829296,807
610227,WHITNEY,41.84008,-87.725546,585
610067,MCKAY,41.768143,-87.691787,613
610213,WADSWORTH,41.773478,-87.601018,470
609896,DRUMMOND,41.915914,-87.674495,336
610547,SOUTH SHORE INTL HS,41.758792,-87.576353,566
609679,PROSSER HS,41.920059,-87.761048,1168
400044,KIPP - ASCEND,41.85837,-87.721071,946
609879,DAWES,41.745078,-87.717353,943
609875,DARWIN,41.923323,-87.705413,491
609880,DECATUR,42.009289,-87.704619,330
610363,DISNEY,41.956816,-87.646083,1416
610394,UPLIFT HS,41.965547,-87.652473,151
610175,SHOESMITH,41.804294,-87.593905,308
609898,EBERHART,41.77442,-87.707953,1003
610503,FRAZIER PROSPECTIVE,41.86698,-87.727244,133
610086,MOUNT VERNON,41.701952,-87.647652,240
400137,LITTLE BLACK PEARL HS,41.809695,-87.59934,77
400035,CHICAGO MATH & SCIENCE HS,42.013031,-87.674818,617
400125,YCCS - ASPIRA PANTOJA,41.938187,-87.727137,196
610087,BLAIR,41.776556,-87.790604,253
609834,LITTLE VILLAGE,41.843698,-87.717319,564
610046,LYON,41.934192,-87.777174,988
610178,SCHMID,41.716989,-87.596932,176
400106,NOBLE - JOHNSON HS,41.778369,-87.635117,460
400092,CICS - BOND,41.653663,-87.605039,259
609921,TELPOCHCALLI,41.847947,-87.696006,224
400181,ART IN MOTION,41.760034,-87.583328,562
610193,NEW SULLIVAN,41.743829,-87.542928,418
609694,HANCOCK HS,41.791464,-87.72447,1028
400126,YCCS - ASSOCIATION HOUSE,41.901572,-87.70686,89
609893,DORE,41.77382587,-87.79974193,735
610188,DUNNE,41.696496,-87.639974,202
610202,TILTON,41.884102,-87.730566,236
